family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
ELU,P1,base,N max,454.1,8,449.6,8,1.0
ELU,P1,base,N min,3.2,17,0.6,17,
ELU,P1,base,|My| max,-274.3,8,-274.9,8,-0.2
ELU,P1,base,|Mx| max,-35.5,22,-20.9,22,69.6
ELU,P1,cabeza,N max,421.3,8,414.2,8,1.7
ELU,P1,cabeza,N min,-21.1,17,-25.6,17,-17.4
ELU,P1,cabeza,|My| max,267.9,8,268.9,8,-0.4
ELU,P1,cabeza,|Mx| max,64.4,22,38.0,22,69.4
ELU,P2,base,N max,270.1,22,260.9,22,3.5
ELU,P2,base,N min,-131.7,5,-136.1,5,-3.2
ELU,P2,base,|My| max,-269.6,5,-269.5,5,0.1
ELU,P2,base,|Mx| max,-36.0,10,-28.1,10,28.1
ELU,P2,cabeza,N max,237.3,22,225.4,22,5.3
ELU,P2,cabeza,N min,-156.0,5,-162.4,5,-4.0
ELU,P2,cabeza,|My| max,259.7,5,259.5,5,0.1
ELU,P2,cabeza,|Mx| max,64.6,10,50.4,10,28.3
ELU,P3,base,N max,680.7,10,673.9,10,1.0
ELU,P3,base,N min,139.5,17,138.9,17,0.5
ELU,P3,base,|My| max,-281.9,8,-283.4,8,-0.5
ELU,P3,base,|Mx| max,10.8,10,3.0,10,265.0
ELU,P3,cabeza,N max,647.9,10,638.4,10,1.5
ELU,P3,cabeza,N min,115.3,17,112.6,17,2.4
ELU,P3,cabeza,|My| max,285.5,8,288.3,8,-1.0
ELU,P3,cabeza,|Mx| max,-19.1,10,-5.2,16,269.3
ELU,P4,base,N max,506.0,22,501.3,22,0.9
ELU,P4,base,N min,-90.2,5,-89.0,5,1.4
ELU,P4,base,|My| max,-257.3,5,-257.2,5,0.0
ELU,P4,base,|Mx| max,9.8,16,3.6,4,171.0
ELU,P4,cabeza,N max,473.2,22,465.8,22,1.6
ELU,P4,cabeza,N min,-114.5,5,-115.3,5,-0.6
ELU,P4,cabeza,|My| max,241.1,5,240.8,5,0.1
ELU,P4,cabeza,|Mx| max,-17.8,16,-7.1,10,152.6
ELU,P5,base,N max,637.4,10,636.8,10,0.1
ELU,P5,base,N min,43.5,17,43.3,17,0.4
ELU,P5,base,|My| max,-271.3,8,-271.9,8,-0.2
ELU,P5,base,|Mx| max,-1.9,16,0.8,5,
ELU,P5,cabeza,N max,604.6,10,601.3,10,0.6
ELU,P5,cabeza,N min,19.2,17,17.0,17,12.8
ELU,P5,cabeza,|My| max,270.2,8,271.5,8,-0.5
ELU,P5,cabeza,|Mx| max,3.5,16,1.0,4,251.2
ELU,P6,base,N max,464.1,22,460.1,22,0.9
ELU,P6,base,N min,-109.8,5,-110.8,5,-0.9
ELU,P6,base,|My| max,-255.0,5,-255.3,5,-0.1
ELU,P6,base,|Mx| max,-2.6,8,-1.3,8,96.1
ELU,P6,cabeza,N max,431.3,22,424.6,22,1.6
ELU,P6,cabeza,N min,-134.1,5,-137.1,5,-2.2
ELU,P6,cabeza,|My| max,240.9,5,240.9,5,-0.0
ELU,P6,cabeza,|Mx| max,4.1,10,1.8,8,123.4
ELU,P7,base,N max,638.5,10,638.5,10,0.0
ELU,P7,base,N min,132.0,17,132.6,17,-0.5
ELU,P7,base,|My| max,-271.3,8,-272.6,8,-0.5
ELU,P7,base,|Mx| max,1.1,8,0.9,5,
ELU,P7,cabeza,N max,605.7,10,603.0,10,0.4
ELU,P7,cabeza,N min,107.7,17,106.3,17,1.3
ELU,P7,cabeza,|My| max,274.1,8,276.3,8,-0.8
ELU,P7,cabeza,|Mx| max,-1.1,8,-0.4,5,
ELU,P8,base,N max,471.1,22,468.6,22,0.5
ELU,P8,base,N min,-91.5,5,-91.5,5,-0.0
ELU,P8,base,|My| max,-248.7,5,-248.5,5,0.1
ELU,P8,base,|Mx| max,-1.2,8,-0.8,5,
ELU,P8,cabeza,N max,438.3,22,433.1,22,1.2
ELU,P8,cabeza,N min,-115.8,5,-117.8,5,-1.7
ELU,P8,cabeza,|My| max,233.2,5,233.0,5,0.1
ELU,P8,cabeza,|Mx| max,1.1,5,0.6,5,
ELU,P13,base,N max,633.9,10,633.2,10,0.1
ELU,P13,base,N min,43.5,17,43.3,17,0.4
ELU,P13,base,|My| max,-262.3,8,-262.8,8,-0.2
ELU,P13,base,|Mx| max,2.7,8,1.2,8,114.6
ELU,P13,cabeza,N max,601.1,10,597.7,10,0.6
ELU,P13,cabeza,N min,19.2,17,17.0,17,12.8
ELU,P13,cabeza,|My| max,261.5,8,262.7,8,-0.4
ELU,P13,cabeza,|Mx| max,-4.2,10,-1.2,10,252.5
ELU,P14,base,N max,464.1,22,460.1,22,0.9
ELU,P14,base,N min,-104.0,5,-105.0,5,-0.9
ELU,P14,base,|My| max,-246.0,5,-246.1,5,-0.0
ELU,P14,base,|Mx| max,1.9,16,-0.7,5,
ELU,P14,cabeza,N max,431.3,22,424.6,22,1.6
ELU,P14,cabeza,N min,-128.3,5,-131.2,5,-2.3
ELU,P14,cabeza,|My| max,232.3,5,232.2,5,0.0
ELU,P14,cabeza,|Mx| max,-3.4,16,-1.2,4,197.9
ELU,P15,base,N max,673.6,10,666.8,10,1.0
ELU,P15,base,N min,139.5,17,138.9,17,0.5
ELU,P15,base,|My| max,-263.9,8,-265.1,8,-0.5
ELU,P15,base,|Mx| max,-10.1,16,-2.7,16,274.1
ELU,P15,cabeza,N max,640.8,10,631.2,10,1.5
ELU,P15,cabeza,N min,115.3,17,112.6,17,2.4
ELU,P15,cabeza,|My| max,268.3,8,270.8,8,-0.9
ELU,P15,cabeza,|Mx| max,18.3,16,5.2,16,255.1
ELU,P16,base,N max,411.1,8,406.3,8,1.2
ELU,P16,base,N min,3.2,17,0.6,17,
ELU,P16,base,|My| max,-247.1,8,-247.3,8,-0.1
ELU,P16,base,|Mx| max,36.1,10,20.9,22,72.5
ELU,P16,cabeza,N max,378.3,8,370.9,8,2.0
ELU,P16,cabeza,N min,-21.1,17,-25.6,17,-17.4
ELU,P16,cabeza,|My| max,241.7,8,242.3,8,-0.3
ELU,P16,cabeza,|Mx| max,-64.9,10,-38.0,22,70.7
ELU,P17,base,N max,506.0,22,501.3,22,0.9
ELU,P17,base,N min,-78.6,5,-77.2,5,1.7
ELU,P17,base,|My| max,-239.2,5,-239.0,5,0.1
ELU,P17,base,|Mx| max,-10.5,10,-4.6,10,128.1
ELU,P17,cabeza,N max,473.2,22,465.8,22,1.6
ELU,P17,cabeza,N min,-102.9,5,-103.5,5,-0.6
ELU,P17,cabeza,|My| max,223.9,5,223.2,5,0.3
ELU,P17,cabeza,|Mx| max,18.5,10,7.8,10,137.5
ELU,P18,base,N max,270.1,22,260.9,22,3.5
ELU,P18,base,N min,-114.2,5,-118.2,5,-3.4
ELU,P18,base,|My| max,-242.4,5,-241.9,5,0.2
ELU,P18,base,|Mx| max,35.3,22,26.9,10,31.3
ELU,P18,cabeza,N max,237.3,22,225.4,22,5.3
ELU,P18,cabeza,N min,-138.5,5,-144.5,5,-4.2
ELU,P18,cabeza,|My| max,233.5,5,232.8,5,0.3
ELU,P18,cabeza,|Mx| max,-64.1,22,-49.2,10,30.3
CIM,P1,base,N max,498.8,8,493.6,8,1.0
CIM,P1,base,N min,-2.6,17,-5.2,17,-48.8
CIM,P1,base,|My| max,-293.0,8,-293.6,8,-0.2
CIM,P1,base,|Mx| max,-39.1,22,-23.1,22,69.3
CIM,P1,cabeza,N max,459.9,8,451.7,8,1.8
CIM,P1,cabeza,N min,-26.9,17,-31.4,17,-14.1
CIM,P1,cabeza,|My| max,286.4,8,287.5,8,-0.4
CIM,P1,cabeza,|Mx| max,70.9,22,41.9,22,69.2
CIM,P2,base,N max,301.8,22,291.5,22,3.5
CIM,P2,base,N min,-146.1,5,-150.7,5,-3.0
CIM,P2,base,|My| max,-287.8,5,-287.6,5,0.0
CIM,P2,base,|Mx| max,-39.5,10,-30.8,10,28.2
CIM,P2,cabeza,N max,262.9,22,249.4,22,5.4
CIM,P2,cabeza,N min,-170.4,5,-177.0,5,-3.7
CIM,P2,cabeza,|My| max,277.3,5,277.1,5,0.1
CIM,P2,cabeza,|Mx| max,71.1,10,55.3,10,28.4
CIM,P3,base,N max,748.5,10,741.2,10,1.0
CIM,P3,base,N min,139.5,17,138.8,17,0.5
