pile,hyp,comp,model,cype,diff
P1,PP,N,53.52,49.0,4.52
P1,PP,Mx,9.78,6.3,3.48
P1,PP,My,3.19,3.4,-0.21
P1,PP,Qx,-2.26,-1.5,-0.76
P1,PP,Qy,-0.75,-0.8,0.05
P1,PP,T,0.0,0.0,0.0
P1,CM,N,12.75,12.6,0.15
P1,CM,Mx,3.6,2.0,1.6
P1,CM,My,0.86,0.9,-0.04
P1,CM,Qx,-0.83,-0.5,-0.33
P1,CM,Qy,-0.2,-0.2,0.0
P1,CM,T,0.0,0.0,0.0
P1,Qa,N,109.3,107.6,1.7
P1,Qa,Mx,30.83,17.1,13.73
P1,Qa,My,7.34,8.1,-0.76
P1,Qa,Qx,-7.14,-4.0,-3.14
P1,Qa,Qy,-1.72,-1.9,0.18
P1,Qa,T,0.0,0.0,0.0
P1,TB1,N,144.68,145.4,-0.72
P1,TB1,Mx,-0.76,-8.6,7.84
P1,TB1,My,169.82,169.7,0.12
P1,TB1,Qx,0.23,2.1,-1.87
P1,TB1,Qy,-51.9,-51.9,0.0
P1,TB1,T,0.36,0.1,0.26
P1,TB2,N,58.26,58.1,0.16
P1,TB2,Mx,-0.15,-1.3,1.15
P1,TB2,My,-2.14,-2.1,-0.04
P1,TB2,Qx,0.04,0.3,-0.27
P1,TB2,Qy,0.46,0.5,-0.04
P1,TB2,T,0.0,0.0,0.0
P1,TB3,N,-58.26,-58.1,-0.16
P1,TB3,Mx,0.15,1.3,-1.15
P1,TB3,My,2.14,2.1,0.04
P1,TB3,Qx,-0.04,-0.3,0.27
P1,TB3,Qy,-0.46,-0.5,0.04
P1,TB3,T,-0.0,0.0,-0.0
P2,PP,N,49.2,44.7,4.5
P2,PP,Mx,9.74,7.8,1.94
P2,PP,My,-3.14,-3.3,0.16
P2,PP,Qx,-2.25,-1.8,-0.45
P2,PP,Qy,0.72,0.8,-0.08
P2,PP,T,0.0,0.0,0.0
P2,CM,N,11.69,11.3,0.39
P2,CM,Mx,3.58,2.3,1.28
P2,CM,My,-0.84,-0.9,0.06
P2,CM,Qx,-0.83,-0.5,-0.33
P2,CM,Qy,0.19,0.2,-0.01
