family,portico,tramo,section,what,model,cype_listing,cype_drawing,diff_%
ELU,Pórtico 3,P1-P2,80x55+15x30,M- cara pilote mar,-314.4,-315.48,-318.8,1.4
ELU,Pórtico 3,P1-P2,80x55+15x30,M- cara pilote tierra,1.4,,,
ELU,Pórtico 3,P1-P2,80x55+15x30,M+ vano,275.0,275.15,275.15,-0.1
ELU,Pórtico 3,P1-P2,80x55+15x30,V cara mar,330.0,333.92,,-1.2
ELU,Pórtico 3,P1-P2,80x55+15x30,V cara tierra,-174.0,-165.91,,-4.9
ELU,Pórtico 4,P3-P4,50x55+15x30+15x30,M- cara pilote mar,-266.5,-266.03,-273.71,2.6
ELU,Pórtico 4,P3-P4,50x55+15x30+15x30,M- cara pilote tierra,-0.6,,,
ELU,Pórtico 4,P3-P4,50x55+15x30+15x30,M+ vano,288.8,294.61,294.6,-2.0
ELU,Pórtico 4,P3-P4,50x55+15x30+15x30,V cara mar,473.7,471.19,,0.5
ELU,Pórtico 4,P3-P4,50x55+15x30+15x30,V cara tierra,-364.0,-333.66,,-9.1
ELU,Pórtico 5,P5-P6,50x55+15x30+15x30,M- cara pilote mar,-305.4,-305.42,-312.87,2.4
ELU,Pórtico 5,P5-P6,50x55+15x30+15x30,M- cara pilote tierra,-0.7,,,
ELU,Pórtico 5,P5-P6,50x55+15x30+15x30,M+ vano,268.4,270.09,270.09,-0.6
ELU,Pórtico 5,P5-P6,50x55+15x30+15x30,V cara mar,443.6,440.82,,0.6
ELU,Pórtico 5,P5-P6,50x55+15x30+15x30,V cara tierra,-328.0,-298.84,,-9.8
ELU,Pórtico 6,P7-P8,50x55+15x30+15x30,M- cara pilote mar,-259.0,-256.9,-264.0,1.9
ELU,Pórtico 6,P7-P8,50x55+15x30+15x30,M- cara pilote tierra,-0.6,,,
ELU,Pórtico 6,P7-P8,50x55+15x30+15x30,M+ vano,274.2,275.5,275.49,-0.5
ELU,Pórtico 6,P7-P8,50x55+15x30+15x30,V cara mar,438.8,438.61,,0.0
ELU,Pórtico 6,P7-P8,50x55+15x30+15x30,V cara tierra,-332.4,-306.21,,-8.6
ELU,Pórtico 7,P13-P14,50x55+15x30+15x30,M- cara pilote mar,-296.7,-296.38,-303.83,2.4
ELU,Pórtico 7,P13-P14,50x55+15x30+15x30,M- cara pilote tierra,-0.7,,,
ELU,Pórtico 7,P13-P14,50x55+15x30+15x30,M+ vano,262.7,262.67,262.67,0.0
ELU,Pórtico 7,P13-P14,50x55+15x30+15x30,V cara mar,437.8,434.91,,0.7
ELU,Pórtico 7,P13-P14,50x55+15x30+15x30,V cara tierra,-328.0,-298.84,,-9.8
ELU,Pórtico 8,P15-P17,50x55+15x30+15x30,M- cara pilote mar,-248.8,-247.96,-255.61,2.7
ELU,Pórtico 8,P15-P17,50x55+15x30+15x30,M- cara pilote tierra,-0.6,,,
ELU,Pórtico 8,P15-P17,50x55+15x30+15x30,M+ vano,282.8,291.11,291.09,-2.9
ELU,Pórtico 8,P15-P17,50x55+15x30+15x30,V cara mar,466.8,464.06,,0.6
ELU,Pórtico 8,P15-P17,50x55+15x30+15x30,V cara tierra,-364.0,-333.66,,-9.1
ELU,Pórtico 9,P16-P18,80x55+15x30,M- cara pilote mar,-287.2,-287.95,-291.23,1.4
ELU,Pórtico 9,P16-P18,80x55+15x30,M- cara pilote tierra,1.4,,,
ELU,Pórtico 9,P16-P18,80x55+15x30,M+ vano,247.8,247.61,247.61,0.1
ELU,Pórtico 9,P16-P18,80x55+15x30,V cara mar,312.2,315.96,,-1.2
ELU,Pórtico 9,P16-P18,80x55+15x30,V cara tierra,-174.0,-165.91,,-4.9
