family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
ELU,P1,base,N max,450.4,8,449.6,8,0.2
ELU,P1,base,N min,2.4,17,0.6,17,
ELU,P1,base,|My| max,-272.5,8,-274.9,8,-0.9
ELU,P1,base,|Mx| max,-27.5,22,-20.9,22,31.2
ELU,P1,cabeza,N max,417.6,8,414.2,8,0.8
ELU,P1,cabeza,N min,-21.9,17,-25.6,17,-14.5
ELU,P1,cabeza,|My| max,267.2,8,268.9,8,-0.6
ELU,P1,cabeza,|Mx| max,49.5,22,38.0,22,30.2
ELU,P2,base,N max,266.7,22,260.9,22,2.2
ELU,P2,base,N min,-131.6,5,-136.1,5,-3.3
ELU,P2,base,|My| max,-267.3,5,-269.5,5,-0.8
ELU,P2,base,|Mx| max,-27.7,10,-28.1,10,-1.4
ELU,P2,cabeza,N max,233.9,22,225.4,22,3.8
ELU,P2,cabeza,N min,-155.9,5,-162.4,5,-4.0
ELU,P2,cabeza,|My| max,258.2,5,259.5,5,-0.5
ELU,P2,cabeza,|Mx| max,49.6,10,50.4,10,-1.5
ELU,P3,base,N max,685.3,10,673.9,10,1.7
ELU,P3,base,N min,140.4,17,138.9,17,1.1
ELU,P3,base,|My| max,-281.9,8,-283.4,8,-0.5
ELU,P3,base,|Mx| max,12.3,10,3.0,10,313.1
ELU,P3,cabeza,N max,652.5,10,638.4,10,2.2
ELU,P3,cabeza,N min,116.1,17,112.6,17,3.1
ELU,P3,cabeza,|My| max,286.8,8,288.3,8,-0.5
ELU,P3,cabeza,|Mx| max,-21.7,10,-5.2,16,319.7
ELU,P4,base,N max,510.2,22,501.3,22,1.8
ELU,P4,base,N min,-89.4,5,-89.0,5,0.5
ELU,P4,base,|My| max,-256.4,5,-257.2,5,-0.3
ELU,P4,base,|Mx| max,11.3,16,3.6,4,212.6
ELU,P4,cabeza,N max,477.4,22,465.8,22,2.5
ELU,P4,cabeza,N min,-113.7,5,-115.3,5,-1.4
ELU,P4,cabeza,|My| max,241.0,5,240.8,5,0.1
ELU,P4,cabeza,|Mx| max,-20.4,16,-7.1,10,189.4
ELU,P5,base,N max,637.0,10,636.8,10,0.0
ELU,P5,base,N min,43.3,17,43.3,17,-0.2
ELU,P5,base,|My| max,-272.5,8,-271.9,8,0.2
ELU,P5,base,|Mx| max,-2.2,22,0.8,5,
ELU,P5,cabeza,N max,604.2,10,601.3,10,0.5
ELU,P5,cabeza,N min,19.0,17,17.0,17,11.3
ELU,P5,cabeza,|My| max,272.4,8,271.5,8,0.3
ELU,P5,cabeza,|Mx| max,4.0,16,1.0,4,301.1
ELU,P6,base,N max,463.2,22,460.1,22,0.7
ELU,P6,base,N min,-111.1,5,-110.8,5,0.2
ELU,P6,base,|My| max,-255.6,5,-255.3,5,0.2
ELU,P6,base,|Mx| max,-2.6,10,-1.3,8,95.2
ELU,P6,cabeza,N max,430.4,22,424.6,22,1.4
ELU,P6,cabeza,N min,-135.4,5,-137.1,5,-1.3
ELU,P6,cabeza,|My| max,242.4,5,240.9,5,0.6
ELU,P6,cabeza,|Mx| max,4.4,10,1.8,8,137.9
ELU,P7,base,N max,639.7,10,638.5,10,0.2
ELU,P7,base,N min,132.1,17,132.6,17,-0.3
ELU,P7,base,|My| max,-273.1,8,-272.6,8,0.2
ELU,P7,base,|Mx| max,1.2,5,0.9,5,
ELU,P7,cabeza,N max,606.9,10,603.0,10,0.6
ELU,P7,cabeza,N min,107.8,17,106.3,17,1.5
ELU,P7,cabeza,|My| max,276.9,8,276.3,8,0.2
ELU,P7,cabeza,|Mx| max,-1.1,5,-0.4,5,
ELU,P8,base,N max,471.3,22,468.6,22,0.6
ELU,P8,base,N min,-92.6,5,-91.5,5,1.3
ELU,P8,base,|My| max,-249.7,5,-248.5,5,0.5
ELU,P8,base,|Mx| max,-1.0,8,-0.8,5,
ELU,P8,cabeza,N max,438.5,22,433.1,22,1.2
ELU,P8,cabeza,N min,-116.9,5,-117.8,5,-0.7
ELU,P8,cabeza,|My| max,235.0,5,233.0,5,0.9
ELU,P8,cabeza,|Mx| max,1.0,8,0.6,5,
ELU,P13,base,N max,633.6,10,633.2,10,0.1
ELU,P13,base,N min,43.3,17,43.3,17,-0.2
ELU,P13,base,|My| max,-263.7,8,-262.8,8,0.3
ELU,P13,base,|Mx| max,3.1,8,1.2,8,152.5
ELU,P13,cabeza,N max,600.8,10,597.7,10,0.5
ELU,P13,cabeza,N min,19.0,17,17.0,17,11.3
ELU,P13,cabeza,|My| max,263.9,8,262.7,8,0.5
ELU,P13,cabeza,|Mx| max,-4.8,10,-1.2,10,306.1
ELU,P14,base,N max,463.2,22,460.1,22,0.7
ELU,P14,base,N min,-105.3,5,-105.0,5,0.3
ELU,P14,base,|My| max,-246.8,5,-246.1,5,0.3
ELU,P14,base,|Mx| max,2.2,16,-0.7,5,
ELU,P14,cabeza,N max,430.4,22,424.6,22,1.4
ELU,P14,cabeza,N min,-129.6,5,-131.2,5,-1.3
ELU,P14,cabeza,|My| max,233.9,5,232.2,5,0.7
ELU,P14,cabeza,|Mx| max,-3.9,16,-1.2,4,239.5
ELU,P15,base,N max,678.4,10,666.8,10,1.8
