pile,hyp,comp,model,cype,diff
P1,PP,N,53.15,49.0,4.15
P1,PP,Mx,8.57,6.3,2.27
P1,PP,My,3.3,3.4,-0.1
P1,PP,Qx,-1.99,-1.5,-0.49
P1,PP,Qy,-0.77,-0.8,0.03
P1,PP,T,-0.01,0.0,-0.01
P1,CM,N,12.5,12.6,-0.1
P1,CM,Mx,2.66,2.0,0.66
P1,CM,My,0.9,0.9,0.0
P1,CM,Qx,-0.62,-0.5,-0.12
P1,CM,Qy,-0.21,-0.2,-0.01
P1,CM,T,-0.0,0.0,-0.0
P1,Qa,N,107.17,107.6,-0.43
P1,Qa,Mx,22.84,17.1,5.74
P1,Qa,My,7.76,8.1,-0.34
P1,Qa,Qx,-5.3,-4.0,-1.3
P1,Qa,Qy,-1.81,-1.9,0.09
P1,Qa,T,-0.02,0.0,-0.02
P1,TB1,N,144.26,145.4,-1.14
P1,TB1,Mx,-0.51,-8.6,8.09
P1,TB1,My,168.95,169.7,-0.75
P1,TB1,Qx,0.16,2.1,-1.94
P1,TB1,Qy,-51.55,-51.9,0.35
P1,TB1,T,0.25,0.1,0.15
P1,TB2,N,58.33,58.1,0.23
P1,TB2,Mx,-0.1,-1.3,1.2
P1,TB2,My,-2.1,-2.1,-0.0
P1,TB2,Qx,0.02,0.3,-0.28
P1,TB2,Qy,0.45,0.5,-0.05
P1,TB2,T,0.0,0.0,0.0
P1,TB3,N,-58.33,-58.1,-0.23
P1,TB3,Mx,0.1,1.3,-1.2
P1,TB3,My,2.1,2.1,0.0
P1,TB3,Qx,-0.02,-0.3,0.28
P1,TB3,Qy,-0.45,-0.5,0.05
P1,TB3,T,-0.0,0.0,-0.0
P2,PP,N,48.89,44.7,4.19
P2,PP,Mx,8.53,7.8,0.73
P2,PP,My,-3.28,-3.3,0.02
P2,PP,Qx,-1.98,-1.8,-0.18
P2,PP,Qy,0.75,0.8,-0.05
P2,PP,T,0.0,0.0,0.0
P2,CM,N,11.48,11.3,0.18
P2,CM,Mx,2.65,2.3,0.35
P2,CM,My,-0.89,-0.9,0.01
P2,CM,Qx,-0.62,-0.5,-0.12
P2,CM,Qy,0.21,0.2,0.01
P2,CM,T,0.0,0.0,0.0
P2,Qa,N,98.39,96.7,1.69
P2,Qa,Mx,22.73,20.1,2.63
P2,Qa,My,-7.64,-8.0,0.36
P2,Qa,Qx,-5.27,-4.7,-0.57
P2,Qa,Qy,1.76,1.8,-0.04
P2,Qa,T,0.01,0.0,0.01
P2,TB1,N,-144.17,-145.6,1.43
P2,TB1,Mx,0.43,7.3,-6.87
P2,TB1,My,174.91,175.8,-0.89
P2,TB1,Qx,-0.13,-1.7,1.57
P2,TB1,Qy,-52.93,-53.3,0.37
P2,TB1,T,0.27,0.1,0.17
P2,TB2,N,-5.38,-5.3,-0.08
P2,TB2,Mx,-0.05,0.3,-0.35
P2,TB2,My,1.08,1.0,0.08
P2,TB2,Qx,0.01,-0.1,0.11
P2,TB2,Qy,-0.29,-0.3,0.01
P2,TB2,T,0.0,0.0,0.0
P2,TB3,N,5.38,5.3,0.08
P2,TB3,Mx,0.05,-0.3,0.35
P2,TB3,My,-1.08,-1.0,-0.08
P2,TB3,Qx,-0.01,0.1,-0.11
P2,TB3,Qy,0.29,0.3,-0.01
P2,TB3,T,-0.0,0.0,-0.0
P3,PP,N,88.76,86.0,2.76
P3,PP,Mx,-2.87,-0.9,-1.97
P3,PP,My,6.97,7.0,-0.03
P3,PP,Qx,0.67,0.2,0.47
P3,PP,Qy,-1.63,-1.6,-0.03
P3,PP,T,-0.0,0.0,-0.0
P3,CM,N,28.19,27.5,0.69
P3,CM,Mx,-1.21,-0.3,-0.91
P3,CM,My,2.6,2.7,-0.1
P3,CM,Qx,0.28,0.1,0.18
P3,CM,Qy,-0.61,-0.6,-0.01
P3,CM,T,0.0,0.0,0.0
P3,Qa,N,241.65,235.7,5.95
P3,Qa,Mx,-10.41,-2.3,-8.11
P3,Qa,My,22.3,23.4,-1.1
P3,Qa,Qx,2.42,0.5,1.92
P3,Qa,Qy,-5.19,-5.4,0.21
P3,Qa,T,0.0,0.0,0.0
P3,TB1,N,146.88,146.2,0.68
P3,TB1,Mx,-0.59,0.1,-0.69
P3,TB1,My,166.97,167.1,-0.13
P3,TB1,Qx,0.18,0.0,0.18
P3,TB1,Qy,-50.95,-51.1,0.15
P3,TB1,T,0.26,0.1,0.16
P3,TB2,N,0.54,0.6,-0.06
P3,TB2,Mx,0.0,-0.1,0.1
P3,TB2,My,0.42,0.5,-0.08
P3,TB2,Qx,-0.0,0.0,-0.0
P3,TB2,Qy,-0.13,-0.1,-0.03
P3,TB2,T,0.0,0.0,0.0
P3,TB3,N,-0.54,-0.6,0.06
P3,TB3,Mx,-0.0,0.1,-0.1
P3,TB3,My,-0.42,-0.5,0.08
P3,TB3,Qx,0.0,-0.0,0.0
P3,TB3,Qy,0.13,0.1,0.03
P3,TB3,T,-0.0,0.0,-0.0
P4,PP,N,81.48,78.9,2.58
P4,PP,Mx,-2.78,-1.1,-1.68
P4,PP,My,-7.09,-7.2,0.11
P4,PP,Qx,0.65,0.3,0.35
P4,PP,Qy,1.64,1.7,-0.06
P4,PP,T,-0.0,0.0,-0.0
P4,CM,N,25.83,25.3,0.53
P4,CM,Mx,-1.17,-0.4,-0.77
P4,CM,My,-2.64,-2.8,0.16
P4,CM,Qx,0.27,0.1,0.17
P4,CM,Qy,0.61,0.6,0.01
P4,CM,T,-0.0,0.0,-0.0
P4,Qa,N,221.41,216.5,4.91
P4,Qa,Mx,-10.06,-3.0,-7.06
P4,Qa,My,-22.62,-23.6,0.98
P4,Qa,Qx,2.34,0.7,1.64
P4,Qa,Qy,5.23,5.5,-0.27
P4,Qa,T,-0.01,0.0,-0.01
P4,TB1,N,-147.31,-146.3,-1.01
P4,TB1,Mx,0.28,-0.6,0.88
P4,TB1,My,167.17,167.2,-0.03
P4,TB1,Qx,-0.1,0.1,-0.2
P4,TB1,Qy,-51.0,-51.1,0.1
P4,TB1,T,0.29,0.1,0.19
P4,TB2,N,-0.46,-0.4,-0.06
P4,TB2,Mx,-0.02,-0.0,-0.02
P4,TB2,My,0.5,0.5,0.0
P4,TB2,Qx,0.0,0.0,0.0
P4,TB2,Qy,-0.15,-0.2,0.05
P4,TB2,T,0.0,0.0,0.0
P4,TB3,N,0.46,0.4,0.06
P4,TB3,Mx,0.02,0.0,0.02
P4,TB3,My,-0.5,-0.5,-0.0
P4,TB3,Qx,-0.0,-0.0,-0.0
P4,TB3,Qy,0.15,0.2,-0.05
P4,TB3,T,-0.0,0.0,-0.0
P5,PP,N,81.12,79.3,1.82
P5,PP,Mx,0.55,0.2,0.35
P5,PP,My,6.34,6.3,0.04
P5,PP,Qx,-0.13,-0.0,-0.13
P5,PP,Qy,-1.48,-1.5,0.02
P5,PP,T,-0.0,0.0,-0.0
P5,CM,N,24.95,24.9,0.05
P5,CM,Mx,0.23,0.1,0.13
P5,CM,My,2.33,2.4,-0.07
P5,CM,Qx,-0.05,-0.0,-0.05
P5,CM,Qy,-0.54,-0.6,0.06
P5,CM,T,-0.0,0.0,-0.0
P5,Qa,N,213.83,213.7,0.13
P5,Qa,Mx,1.99,0.4,1.59
P5,Qa,My,19.93,20.4,-0.47
P5,Qa,Qx,-0.46,-0.1,-0.36
P5,Qa,Qy,-4.64,-4.7,0.06
P5,Qa,T,-0.0,0.0,-0.0
P5,TB1,N,155.86,155.6,0.26
P5,TB1,Mx,-0.6,-0.3,-0.3
P5,TB1,My,159.86,158.9,0.96
P5,TB1,Qx,0.19,0.1,0.09
P5,TB1,Qy,-49.15,-48.9,-0.25
P5,TB1,T,0.3,0.1,0.2
P5,TB2,N,58.07,58.1,-0.03
P5,TB2,Mx,0.0,0.0,0.0
P5,TB2,My,-2.72,-2.7,-0.02
P5,TB2,Qx,0.0,-0.0,0.0
P5,TB2,Qy,0.6,0.6,-0.0
P5,TB2,T,0.0,0.0,0.0
P5,TB3,N,-58.07,-58.1,0.03
P5,TB3,Mx,-0.0,-0.0,-0.0
P5,TB3,My,2.72,2.7,0.02
P5,TB3,Qx,-0.0,0.0,-0.0
