pile,hyp,comp,model,cype,diff
P1,PP,N,77.57,75.2,2.37
P1,PP,Mx,-4.8,-3.5,-1.3
P1,PP,My,-1.87,-1.9,0.03
P1,PP,Qx,-2.02,-1.5,-0.52
P1,PP,Qy,-0.77,-0.8,0.03
P1,PP,T,-0.01,0.0,-0.01
P1,CM,N,12.56,12.6,-0.04
P1,CM,Mx,-1.53,-1.1,-0.43
P1,CM,My,-0.51,-0.5,-0.01
P1,CM,Qx,-0.64,-0.5,-0.14
P1,CM,Qy,-0.21,-0.2,-0.01
P1,CM,T,-0.0,0.0,-0.0
P1,Qa,N,107.62,107.6,0.02
P1,Qa,Mx,-13.12,-9.4,-3.72
P1,Qa,My,-4.37,-4.6,0.23
P1,Qa,Qx,-5.52,-4.0,-1.52
P1,Qa,Qy,-1.8,-1.9,0.1
P1,Qa,T,-0.03,0.0,-0.03
P1,TB1,N,142.97,145.4,-2.43
P1,TB1,Mx,0.13,5.2,-5.07
P1,TB1,My,-174.4,-177.9,3.5
P1,TB1,Qx,0.04,2.1,-2.06
P1,TB1,Qy,-50.95,-51.9,0.95
P1,TB1,T,0.07,0.1,-0.03
P1,TB2,N,58.33,58.1,0.23
P1,TB2,Mx,0.07,0.7,-0.63
P1,TB2,My,0.92,0.9,0.02
P1,TB2,Qx,0.03,0.3,-0.27
P1,TB2,Qy,0.45,0.5,-0.05
P1,TB2,T,0.0,0.0,0.0
P1,TB3,N,-58.33,-58.1,-0.23
P1,TB3,Mx,-0.07,-0.7,0.63
P1,TB3,My,-0.92,-0.9,-0.02
P1,TB3,Qx,-0.03,-0.3,0.27
P1,TB3,Qy,-0.45,-0.5,0.05
P1,TB3,T,-0.0,0.0,-0.0
P2,PP,N,73.12,71.0,2.12
P2,PP,Mx,-4.74,-4.3,-0.44
P2,PP,My,1.75,1.8,-0.05
P2,PP,Qx,-2.0,-1.8,-0.2
P2,PP,Qy,0.75,0.8,-0.05
P2,PP,T,0.01,0.0,0.01
P2,CM,N,11.46,11.3,0.16
P2,CM,Mx,-1.5,-1.3,-0.2
P2,CM,My,0.48,0.5,-0.02
P2,CM,Qx,-0.63,-0.5,-0.13
P2,CM,Qy,0.2,0.2,0.0
P2,CM,T,0.0,0.0,0.0
P2,Qa,N,98.22,96.7,1.52
P2,Qa,Mx,-12.83,-11.1,-1.73
P2,Qa,My,4.09,4.3,-0.21
P2,Qa,Qx,-5.4,-4.7,-0.7
P2,Qa,Qy,1.74,1.8,-0.06
P2,Qa,T,0.03,0.0,0.03
P2,TB1,N,-142.86,-145.6,2.74
P2,TB1,Mx,-0.13,-4.3,4.17
P2,TB1,My,-177.67,-181.2,3.53
P2,TB1,Qx,-0.03,-1.7,1.67
P2,TB1,Qy,-52.33,-53.3,0.97
P2,TB1,T,0.06,0.1,-0.04
P2,TB2,N,-5.39,-5.3,-0.09
P2,TB2,Mx,0.03,-0.2,0.23
P2,TB2,My,-0.85,-0.8,-0.05
P2,TB2,Qx,0.01,-0.1,0.11
P2,TB2,Qy,-0.29,-0.3,0.01
